u3042	mihail-jp_gothkana-u3042
u3044	mihail-jp_gothkana-u3044
u3046	mihail-jp_gothkana-u3046
u3048	mihail-jp_gothkana-u3048
u304a	mihail-jp_gothkana-u304a
u304b	mihail-jp_gothkana-u304b
u304d	mihail-jp_gothkana-u304d
u304f	mihail-jp_gothkana-u304f
u3051	mihail-jp_gothkana-u3051
u3053	mihail-jp_gothkana-u3053
u3055	mihail-jp_gothkana-u3055
u3057	mihail-jp_gothkana-u3057
u3059	mihail-jp_gothkana-u3059
u305b	mihail-jp_gothkana-u305b
u305d	mihail-jp_gothkana-u305d-var-001
u305f	mihail-jp_gothkana-u305f
u3061	mihail-jp_gothkana-u3061
u3064	mihail-jp_gothkana-u3064
u3066	mihail-jp_gothkana-u3066
u3068	mihail-jp_gothkana-u3068
u306a	mihail-jp_gothkana-u306a
u306b	mihail-jp_gothkana-u306b
u306c	mihail-jp_gothkana-u306c
u306d	mihail-jp_gothkana-u306d
u306e	mihail-jp_gothkana-u306e
u306f	mihail-jp_gothkana-u306f
u3072	mihail-jp_gothkana-u3072
u3075	mihail-jp_gothkana-u3075
u3078	mihail-jp_gothkana-u3078
u307b	mihail-jp_gothkana-u307b
u307e	mihail-jp_gothkana-u307e
u307f	mihail-jp_gothkana-u307f
u3080	mihail-jp_gothkana-u3080
u3081	mihail-jp_gothkana-u3081
u3082	mihail-jp_gothkana-u3082
u3084	mihail-jp_gothkana-u3084
u3086	mihail-jp_gothkana-u3086
u3088	mihail-jp_gothkana-u3088
u3089	mihail-jp_gothkana-u3089
u308a	mihail-jp_gothkana-u308a
u308b	mihail-jp_gothkana-u308b
u308c	mihail-jp_gothkana-u308c
u308d	mihail-jp_gothkana-u308d
u308f	mihail-jp_gothkana-u308f
u3090	mihail-jp_gothkana-u3090
u3091	mihail-jp_gothkana-u3091
u3092	mihail-jp_gothkana-u3092
u3093	mihail-jp_gothkana-u3093
u309d	mihail-jp_gothkana-u309d
